suite,workload,count,mode,baseline_median_ns,baseline_min_ns,baseline_max_ns,current_median_ns,current_min_ns,current_max_ns,ratio,image_or_input_sha256
wasm,tail/hyper,127,uninterrupted,5117042,4553875,5371959,3104750,2737458,3615084,0.606747,ad8e4f4db38dcdb60fd7ff6907aa9903c5fcce527c12853207ae6925d5884c96
wasm,tail/hyper,127,resident,17405542,16429209,17605334,4853250,4623458,5584584,0.278834,ad8e4f4db38dcdb60fd7ff6907aa9903c5fcce527c12853207ae6925d5884c96
wasm,tail/hyper,127,fresh,88620958,63560208,89546791,30596833,28261666,48001208,0.345255,ad8e4f4db38dcdb60fd7ff6907aa9903c5fcce527c12853207ae6925d5884c96
wasm,tail/hyper,512,uninterrupted,27577791,26844917,28742000,9508000,8932875,10320916,0.344770,ad8e4f4db38dcdb60fd7ff6907aa9903c5fcce527c12853207ae6925d5884c96
wasm,tail/hyper,512,resident,191850625,190341750,209197625,17646125,16992917,17725084,0.091978,ad8e4f4db38dcdb60fd7ff6907aa9903c5fcce527c12853207ae6925d5884c96
wasm,tail/hyper,512,fresh,612321333,579283167,622367834,104251750,100707833,128095875,0.170257,ad8e4f4db38dcdb60fd7ff6907aa9903c5fcce527c12853207ae6925d5884c96
wasm,tail/direct,0,uninterrupted,979500,301375,1010417,375708,333625,1192666,0.383571,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,0,resident,1021250,338833,1159541,424458,346125,1106333,0.415626,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,0,fresh,1099291,320917,1113250,373250,320792,1133917,0.339537,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,127,uninterrupted,1352000,548250,1695708,680958,556875,1441875,0.503667,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,127,resident,1297042,587458,9421833,1358875,659167,2131750,1.047672,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,127,fresh,7436416,3188000,14880250,3901333,3378667,13002792,0.524625,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,512,uninterrupted,1822375,1107208,2279833,1689625,1082833,9554125,0.927155,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,512,resident,2034792,1291792,2565209,1560292,1326583,3374541,0.766807,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,tail/direct,512,fresh,24590625,14576083,25853875,14474167,13768791,24588125,0.588605,63202e3768da28b387bfdac457b5eddf3c7e4025c347a96fc2819675f9af3cf8
wasm,fold/hyper,128,uninterrupted,13711417,12798542,14146666,11810084,10990125,12059625,0.861332,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
wasm,fold/hyper,128,resident,34375375,32453875,48507292,21481625,20400417,22609041,0.624913,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
wasm,fold/hyper,128,fresh,151591458,119990958,153195292,86889959,84270084,111750625,0.573185,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
wasm,fold/direct,128,uninterrupted,6476084,5775292,6672291,5881916,5722542,6569000,0.908252,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
wasm,fold/direct,128,resident,10030958,9463834,22570167,9708333,9634541,10596667,0.967837,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
wasm,fold/direct,128,fresh,55211458,38874792,55942333,38952125,38615041,55790208,0.705508,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
wasm,fold/materialized,128,uninterrupted,6379667,5422583,17375166,5907875,5340333,6188709,0.926048,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
wasm,fold/materialized,128,resident,7339750,6475208,7444625,6577792,6441166,7633292,0.896187,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
wasm,fold/materialized,128,fresh,49419167,34072333,50711750,34818292,34365083,51001541,0.704550,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
native-control,scalar,0,fresh-chain,2459,2417,2542,2417,2416,2458,0.982920,1e30c17fe5e98ebade3d9a99864344ae8f43bb86664bcc524087bc31f5e91e3a
native-control,deep,0,fresh-chain,11166,11125,11250,11209,11209,11916,1.003851,d4dced3c461d1af6ff1abaffa783536fa8941eec85a964ab86a013e64b782392
native-control,reentrant,0,fresh-chain,94667,93583,96125,94500,94083,94583,0.998236,d85782c1913276a7b5331b2ef24eedc2aeaaecd2d7805c802fef42c1d891f555
native-control,cleanup,0,fresh-chain,171127,171000,177917,173375,173292,174166,1.013136,1e7b78691040b14d12e3ebc7758188563ed06a0984784f47a9c100829c91a26e
native-control,generator,0,fresh-chain,155084,143292,155625,150167,147583,150209,0.968295,e56d6d9506f69bcda4648041512d4a247eb5ff879cb9c9b98a22a7779398c701
native-control,retained_loop,128,fresh-chain,270125,268875,270208,272125,270292,288958,1.007404,3fd67337ce4d5d62bf1e6cea4550f20284f3dfba164b9a2ae185867097c95ba9
